,pc,pp
1622,51564,9427
1623,110773,9426
1624,46371,9426
1625,92897,9426
1626,84988,9426
1627,169056,9425
1628,69071,9425
1629,53476,9425
1630,88290,9425
1631,116248,9424
1632,50518,9422
1633,129140,9421
1634,67787,9418
1635,95872,9417
1636,153818,9416
1637,42252,9416
1638,67636,9415
1639,70960,9414
1640,78979,9409
1641,45801,9409
1642,94713,9408
1643,96177,9408
1644,71708,9408
1645,193746,9408
1646,46767,9407
1647,53396,9407
1648,103793,9405
1649,79428,9405
1650,95869,9401
1651,145166,9401
1652,94686,9401
1653,89164,9401
1654,53061,9401
1655,117363,9400
1656,198420,9400
1657,173999,9398
1658,109975,9396
1659,88354,9396
1660,20620,9396
1661,65857,9395
